product_id,title,description,condition,image_url,date_sold,price
1317124235,🎧Mon🎧 Modded 3DS | 2DS | XL |new |Nintendo | luma 3ds |bootstrap | hshop |512gb | micro card microsd |256gb | 128gb | 64gb | custom | customisation| customization,"👍  applicable to old 2ds/3ds, new 2ds 3ds xl 

👍troubleshoot or fix any software issues eg
💯unable to boot 
💯shop no longer able to see latest games
💯etc

👍this is my only account, not affiliated with any other accounts. 

👍with hshop and retro emulators

👍for SD card (needed), prices as follow

brand new Samsung Evo plus

😀64gb -$12
😀128gb -$22
😀256gb -$39
😀512gb - $73",BRAND NEW,https://media.karousell.com/media/photos/products/2024/7/29/mon_modded_3ds__2ds__xl_new_ni_1722256468_f9d48060_thumbnail.jpg,2024-08-01,29.9
1349325086,Pokemon  Nintendo 2DS XL Brand new,Brand new. Box never been open before. To deal at Tampines east mrt ,BRAND NEW,https://media.karousell.com/media/photos/products/2025/1/24/pokmon_nintendo_2ds_xl_brand_n_1737729026_04824f90_thumbnail.jpg,2025-01-27,800.0
1327685233,"BNIB - Nintendo 2Ds Pokemon Red, Blue, Yellow 20th Anniversary Edition","🔥WEEKEND FIRE SALE!!!🔥❗️❗️❗️

Nintendo 2Ds Pokemon Red, Blue, Yellow 20th Anniversary Edition🔴🔵🟡

Selling as I'm not really a big fan of Pokemon, hence clearing it for something else.

Kept in dry cabinet and box protector since day 1!✨

Totally brand new and never opened at all!✨

Pm me if interested thank you!

❗️A small deposit is required once confirmed the deal!

❗️Strictly no returns or refunds once item is sold!

❗️Price negotiable but please do not lowball❗️",BRAND NEW,https://media.karousell.com/media/photos/products/2024/9/26/nintendo_2ds_pokemon_red_blue__1727359169_7a64615f_thumbnail.jpg,2025-05-17,2600.0
1309485910,R4 SDHC Gold Pro for 3DS DSI XL/LL DSL DD,brand new. includes 32sg micro SD card.,BRAND NEW,https://media.karousell.com/media/photos/products/2024/6/18/r4_sdhc_gold_pro_for_3ds_dsi_x_1718715617_d51ac9d6_thumbnail.jpg,2024-09-27,29.99
1303479098,New Nintendo 3DS LL screen protector,"Screen protector only.

Includes Normal mailing.",BRAND NEW,https://media.karousell.com/media/photos/products/2024/5/15/new_nintendo_3ds_ll_screen_pro_1715756772_60fa0047_thumbnail.jpg,2024-08-15,5.0
1361106653,Nintendo 3ds XL Pikachu Edition,"Charger still unused.

Receipt paper is as fresh as if it was handed to you yesterday.

Manuals and all still there.

Screen protector and case since day one, more than 10 years ago. 

Total playtime probably only 2hrs. Box edges are sharp.",BRAND NEW,https://media.karousell.com/media/photos/products/2025/3/30/nintendo_3ds_xl_pikachu_editio_1743323954_e1ceb24b_thumbnail,2025-04-06,555.0
1357960440,Nintendo New 3DS Limited Edition Pokemon 20th Anniversary (DUAL IPS) USA version CIB Authentic (Gameboy/GBA/GBC/ Nintendo/3DS/N3DSXL),"Selling my very rare, complete in box New 3DS DUAL IPS Pokemon 20th Anniversary edition. This is DUAL IPS (see photo sample of difference of IPS to non-IPS model of new 3ds) with matching serial number. IPS models should see clearly the picture even when you turn it side to side, up and down (better to open Activity Log). 

Opened only to see inside and manuals but never use for gaming and faceplates are unused. Taken care very carefully as I use gloves to handle my rare collection and put dessicant inside to prevent moisture that causes molds.

Physical Condition: 10/10
Working condition: 10/10

RFS: Will try to fund for my dream other very rare unit. If not sold, then will keep it for collection.

Meet-up my place 208 Toa Payoh North to inspect and see personally this rare piece.
Thanks for viewing. Happy Collecting everyone.",BRAND NEW,https://media.karousell.com/media/photos/products/2025/3/12/new_3ds_limited_edition_pokemo_1741809697_be1e631c_thumbnail.jpg,2025-05-15,1500.0
1351590503,Nintendo New 3DS XL Pokemon Limited edition Solgaleo Lunala Black Edition,"Very pristine condition, Comes complete in box
No issue physically and internally",BRAND NEW,https://media.karousell.com/media/photos/products/2025/2/6/nintendo_new_3ds_xl_pokemon_li_1738861647_31d1b726_thumbnail.jpg,2025-02-23,520.0
1310542489,NEW NINTENDO 2DS XL - HYLIAN SHIELD EDITION,"- Price is negotiable ☺️
- Used just a few times.
- In excellent condition, this is a beautiful piece of hardware.
- Tested on and charging. 
- Charger, manual, AR cards and box all included.",LIKE NEW,https://media.karousell.com/media/photos/products/2024/6/24/new_nintendo_2ds_xl__hylian_sh_1719220836_90e51b55_thumbnail.jpg,2024-06-29,989.0
1360962984,Mint condition Limited edition gold Zelda Nintendo 3DS XL Majora’s Mask edition (includes game and Collector’s Edition hardcover guidebook),"Mint condition Limited edition gold Zelda Nintendo 3DS XL Majora’s Mask edition (includes game and Collector’s Edition hardcover guidebook)

Seldom used but always taken care of with clear case.

Comes with box and all original accessories.
Includes Majora’s Mask game cartridge and brand new Collector’s Edition hardcover guidebook.

Selling for $499.

Self collect in Pasir Ris at my convenience.",LIKE NEW,https://media.karousell.com/media/photos/products/2025/3/29/mint_condition_limited_edition_1743241999_f6d8fa31_thumbnail.jpg,2025-03-29,499.0
1345616181,Nintendo 2DS,"Condition 9.5/10
",LIKE NEW,https://media.karousell.com/media/photos/products/2025/1/5/nintendo_2ds_1736069800_162f530b_thumbnail.jpg,2025-01-30,165.0
1327018709,Nintendo 2ds (Sun and moon),"good condition. 

modded
64gb
comes with
transparent case. 
charging cable. 
console itself. 

fast deal :)",LIKE NEW,https://media.karousell.com/media/photos/products/2024/9/22/nintendo_2ds_sun_and_moon_1727024012_96343585_thumbnail.jpg,2024-10-09,185.0
1340344890,modded nintendo old 3ds XL,"pokemon X&Y limited edition nintendo 3ds xl
modded
item still in excellent condition, no visible scratches/defects",LIKE NEW,https://media.karousell.com/media/photos/products/2024/12/7/modded_nintendo_old_3ds_xl_1733552116_44526142_thumbnail.jpg,2024-12-17,225.0
1353759220,Nintendo new 3DS XL Galaxy Edition,"3ds is modded with games and themes. Both screens are fitted with screen protectors. Item comes with the following:

stylus
charging cable
128gb micro SD card
console protective case
console pouch",LIKE NEW,https://media.karousell.com/media/photos/products/2025/2/18/nintendo_new_3ds_xl_galaxy_edi_1739894277_b817e1aa_thumbnail.jpg,2025-04-02,340.0
1353798236,Nintendo New 2DS XL modded,"New 2DS XL
Orange & White
9.9/10 almost brand new condition
Functions perfectly
Perfect Screens and backlight
No battery degradation
No damages, scratches, dirt whatsoever
with AC Adapter

Console is fully modded
CFW + region unlock + download & play rom backup
64GB SD card",LIKE NEW,https://media.karousell.com/media/photos/products/2025/2/19/nintendo_new_2ds_xl_modded_1739931724_5110087d_thumbnail,2025-02-21,225.0
1313704214,128GB Nintendo New 3ds/2ds XL/LL lavender white set 🪻 🐻‍❄️,"*** Will only be available to meet up/arrange delivery on 20th July

*Free delivery to your place, meet up can be arranged 

***This is an JPN set, Region changed to US, everything will be in English , ABLE to access eshop and able to use Pokebank and Poketransporter, both app installed

***Functionality of the console is 10/10, physical condition is 9/10, very minor scratches on console body 

***This is a DUAL TN screen set 

*Modded means the console has been
 modified/ homebrewed, can download games free from the hShop, and install 3rd party software that u like.

*Total of 110 games are installed in this console, including 3ds games and other classic virtual console games(gb gba nes snes),150 customisable themes

The console come with 

*Crystal case + 1 more set crystal case
*Carry case 
*Screen protector pasted 
*Stylus pen
*USB charging cable
*128GB SD card

Meeting up in the West area is preferable, other areas can be discussed",LIKE NEW,https://media.karousell.com/media/photos/products/2024/7/11/128gb_nintendo_new_3ds2ds_xlll_1720691128_37f55f1d_thumbnail.jpg,2024-07-15,302.5
1323700523,Modded Nintendo 3ds LL,"Selling my Nintendo 3ds LL 
Modded (32 GB) 

- Really new! almost brand new (no visible scratches) 
- All buttons super crisp! 
- Modded with lots of games! 
- With Box! 
- With Stylus! 
- With charging cable! 
- Can connect to wifi and download games directly on the device using HSHOP
- Themes can be customized

Location: Pasir Ris Area

Reason for selling: 

Not really using using because I play with my retroid pocket 3+",LIKE NEW,https://media.karousell.com/media/photos/products/2024/9/4/modded_nintendo_3ds_ll_1725430657_2a134dde_thumbnail.jpg,2024-09-13,159.0
